0006428320,"[3]"
0014072149,"[5]"
0041291905,"[5]"
0041913574,"[5]"
0201891859,"[1]"
0577088726,"[5]"
0634029231,"[3]"
0634029347,"[2, 1, 5]"
0634029355,"[2, 2, 5, 5, 2]"
0634029363,"[2, 1, 5, 5, 1]"
0634050028,"[5]"
0634055429,"[2]"
0634055534,"[5, 5]"
0634061801,"[5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 3]"
0634065459,"[5]"
0739003755,"[5, 5, 5, 5, 4, 5, 5, 3]"
0739037986,"[5, 3, 1, 2]"
0739040251,"[5, 5, 4, 5, 5, 5, 4, 5, 4, 3]"
0739040308,"[5, 5, 3, 4, 5, 5, 1]"
0739040375,"[5, 5, 3, 5, 5, 5, 5, 5, 4, 5, 5, 2, 5, 5, 3, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
0739042726,"[1, 1, 3, 4, 4]"
0739045032,"[4, 5, 5, 3, 1, 5, 3, 4, 5, 4, 5]"
0739045067,"[5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 1]"
0739046500,"[5, 5, 5, 3, 4, 2, 4, 2, 4, 4, 5, 5, 1, 4, 4, 4, 1, 5, 1, 5, 5, 3, 2, 1, 5, 5, 5, 5, 3, 5, 5, 5, 3, 4, 5, 1, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 1, 5, 5, 5, 5, 1, 5, 5, 3, 5, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 3, 5, 5, 4, 1, 5, 2, 3, 4]"
0739048287,"[5, 5, 5]"
073904852X,"[5, 3, 5, 4, 5, 5, 5, 5, 3, 3, 5, 3, 5, 3, 5, 1, 5, 2, 5]"
0739051210,"[5, 5]"
0739055224,"[5, 5]"
0739056247,"[5]"
0739057561,"[5, 5, 5, 5]"
0739059068,"[3]"
0739059114,"[5]"
0739060287,"[5, 5, 5, 5, 5, 2, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
0739064525,"[5, 5, 3, 4, 5, 5]"
0739069713,"[5, 3, 4, 5, 5, 5, 5]"
0739075934,"[5, 3, 5, 5, 5, 5, 4]"
0739076744,"[5, 3]"
0739079883,"[5, 5, 5, 4, 5, 5, 5, 5, 4, 1, 5, 5, 2, 4, 5, 5, 5, 4, 4, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 5]"
0756028566,"[5]"
0757931847,"[5]"
0757990894,"[5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4]"
0767851013,"[4, 4, 5, 5, 5, 4, 5, 5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 1, 5, 4, 5, 5, 2, 5, 5, 1, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 4, 5, 4, 5, 4, 5, 5, 4, 2, 1, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 2, 5, 5, 5, 2, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 4, 2, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 3, 4, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 1, 5, 4, 2, 3, 4, 3, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 2, 4, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 1, 1, 1, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 2, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
0786615303,"[5, 5, 4, 5, 1, 4]"
0849428866,"[5]"
0849706807,"[5]"
0849707692,"[5]"
0849734339,"[5, 5]"
0849756677,"[5]"
0849757487,"[1, 5]"
0881881037,"[5, 5]"
0930948246,"[4]"
0975681753,"[5]"
0976054809,"[4, 4]"
0976605805,"[5, 3]"
0976615355,"[5, 5, 4, 5, 5]"
0977875652,"[4, 5, 5, 5, 5, 5]"
1384719342,"[5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 3, 2, 4, 5, 5, 5, 5, 4, 5, 4, 5, 1, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 1, 5, 2, 5, 3, 5, 5, 4, 4, 1, 3, 5, 4]"
